title,artist_name,artist_familiarity,artist_hotness,song_hotness,genre,duration,key,key_condidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence
I Didn't Mean To,Casual,0.581793766,0.401997543,0.60211999,,218.93179,1,0.736,-11.197,0,0.636,92.198,4,0.778
Soul Deep,The Box Tops,0.630630038,0.417499645,0.360370583,,148.03546,6,0.169,-9.843,0,0.43,121.274,4,0.384
Amor De Cabaret,Sonora Santanera,0.487356791,0.343428378,0.360370583,,177.47546,8,0.643,-9.689,1,0.565,100.07,1,0.0
Something Girls,Adam Ant,0.630382334,0.454231157,0.360370583,,233.40363,0,0.751,-9.013,1,0.749,119.293,4,0.0
Face the Ashes,Gob,0.651045661,0.401723686,0.604500739,,209.60608,2,0.092,-4.501,1,0.371,129.738,4,0.562
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0.535292736,0.385470551,0.360370583,,267.7024,5,0.635,-9.323,1,0.557,147.782,3,0.454
Keepin It Real (Skit),Rated R,0.556495602,0.261941177,0.360370583,,114.78159,1,0.0,-17.302,1,0.0,111.787,1,0.0
Drop of Rain,Tweeterfriendly Music,0.801136447,0.605507136,0.360370583,,189.57016,4,0.0,-11.642,0,0.16,101.43,3,0.408
Pink World,Planet P Project,0.426667857,0.332275747,0.265861049,,269.81832,4,0.717,-13.496,1,0.652,86.643,4,0.487
Insatiable (Instrumental Version),Clp,0.550513698,0.422705641,0.360370583,,266.39628,7,0.053,-6.697,0,0.473,114.041,4,0.878
Young Boy Blues,JennyAnyKind,0.360031166,0.296268954,0.0,,218.77506,5,0.354,-10.021,0,0.485,146.765,1,0.0
The Urgency (LP Version),Wayne Watson,0.545159296,0.351555861,0.265861049,,245.21098,7,0.07,-7.545,1,0.686,117.975,4,0.835
La Culpa,Andy Andy,0.577508974,0.37948217,0.0,,226.35057,9,0.205,-6.632,1,0.305,130.04,4,0.0
Auguri Cha Cha,Bob Azzam,0.085512047,0.251936525,0.0,,191.84281,10,0.0,-7.75,0,0.198,137.334,1,0.319
Tonight Will Be Alright,Lionel Richie,0.776675856,0.553071991,0.360370583,,307.3824,3,0.524,-8.346,1,0.533,125.197,3,0.211
