title,artist_name,artist_familiarity,artist_hotness,song_hotness,genre,duration,key,key_condidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence
"b""I Didn't Mean To""",b'Casual',0.581793766,0.401997543,0.60211999,b'',218.93179,1,0.736,-11.197,0,0.636,92.198,4,0.778
b'Soul Deep',b'The Box Tops',0.630630038,0.417499645,,b'',148.03546,6,0.169,-9.843,0,0.43,121.274,4,0.384
b'Amor De Cabaret',b'Sonora Santanera',0.487356791,0.343428378,,b'',177.47546,8,0.643,-9.689,1,0.565,100.07,1,0
b'Something Girls',b'Adam Ant',0.630382334,0.454231157,,b'',233.40363,0,0.751,-9.013,1,0.749,119.293,4,0
b'Face the Ashes',b'Gob',0.651045661,0.401723686,0.604500739,b'',209.60608,2,0.092,-4.501,1,0.371,129.738,4,0.562
b'The Moon And I (Ordinary Day Album Version)',b'Jeff And Sheri Easter',0.535292736,0.385470551,,b'',267.7024,5,0.635,-9.323,1,0.557,147.782,3,0.454
b'Keepin It Real (Skit)',b'Rated R',0.556495602,0.261941177,,b'',114.78159,1,0,-17.302,1,0,111.787,1,0
b'Drop of Rain',b'Tweeterfriendly Music',0.801136447,0.605507136,,b'',189.57016,4,0,-11.642,0,0.16,101.43,3,0.408
b'Pink World',b'Planet P Project',0.426667857,0.332275747,0.265861049,b'',269.81832,4,0.717,-13.496,1,0.652,86.643,4,0.487
b'Insatiable (Instrumental Version)',b'Clp',0.550513698,0.422705641,,b'',266.39628,7,0.053,-6.697,0,0.473,114.041,4,0.878
b'Young Boy Blues',b'JennyAnyKind',0.360031166,0.296268954,0,b'',218.77506,5,0.354,-10.021,0,0.485,146.765,1,0
b'The Urgency (LP Version)',b'Wayne Watson',0.545159296,0.351555861,0.265861049,b'',245.21098,7,0.07,-7.545,1,0.686,117.975,4,0.835
b'La Culpa',b'Andy Andy',0.577508974,0.37948217,0,b'',226.35057,9,0.205,-6.632,1,0.305,130.04,4,0
b'Auguri Cha Cha',b'Bob Azzam',0.085512047,0.251936525,0,b'',191.84281,10,0,-7.75,0,0.198,137.334,1,0.319
b'Tonight Will Be Alright',b'Lionel Richie',0.776675856,0.553071991,,b'',307.3824,3,0.524,-8.346,1,0.533,125.197,3,0.211
b'Floating',b'Blue Rodeo',0.636423645,0.44793548,0.405115722,b'',491.12771,7,1,-8.576,1,0.829,119.826,4,0.756
b'High Tide',b'Richard Souther',0.419943148,0.330806357,0.334706549,b'',228.5971,8,0.041,-16.11,1,0.516,127.756,5,0.579
b'Sohna Nee Sohna Data',b'Faiz Ali Faiz',0.363280571,0.306676093,,b'',599.24853,6,0.06,-8.032,1,0.346,99.273,4,0.158
b'Caught In A Dream',b'Tesla',0.707199764,0.51346329,0.684136191,b'',290.29832,7,0.725,-5.271,1,0.756,150.062,4,0.931
b'Synthetic Dream',b'lextrical',0.32031437,0,0,b'',165.69424,7,0.011,-6.787,1,0.568,138.331,4,0.127
b'Broken-Down Merry-Go-Round',b'Jimmy Wakely',0.39413854,0.291539727,,b'',151.84934,1,0.799,-15.221,1,0.716,86.186,3,0.929
b'Kassie Jones',b'Alice Stuart',0.489816269,0.328553015,0,b'',220.78649,11,0.809,-8.514,1,0.521,110.382,1,0.192
b'Setanta matins',b'Elena',0.677420465,0.378254686,0.313562114,b'',269.58322,2,0.596,-8.05,1,0.666,111.874,4,1
b'Setting Fire to Sleeping Giants',b'The Dillinger Escape Plan',0.839962768,0.541888972,0.666527846,b'',207.77751,7,0.381,-4.264,1,0.453,166.862,4,0
b'James (Hold The Ladder Steady)',b'SUE THOMPSON',0.435415818,0.306242264,0.495293621,b'',124.86485,10,0.697,-12.332,1,0.541,137.522,4,0
b'Made Like This (Live)',b'Five Bolt Main',0.6090637,0.363651365,0.375984302,b'',225.09669,7,0.53,-5.908,1,0.512,164.672,1,0
b'Superconfidential',b'Clp',0.550513698,0.422705641,,b'',338.31138,6,0.687,-6.486,0,0.486,125.006,4,1
b'I Think My Wife Is Running Around On Me (Taco Hell)',b'Tim Wilson',0.459797129,0.349912612,,b'',186.48771,5,0.762,-4.516,1,0.539,90.022,1,0.971
b'Spanish Grease',b'Willie Bobo',0.588827101,0.379671125,,b'',168.25424,8,0.812,-9.616,1,0.736,127.025,4,0.792
b'Crazy Mixed Up World',b'Faye Adams',0.396455254,0.299230368,0,b'',156.39465,8,0.569,-18.051,1,0.495,95.957,3,0.689
b'Do You Finally Need A Friend',b'Terry Callier',0.706827671,0.416173065,0.413739836,b'',342.56934,6,0.381,-11.939,1,0.538,110.189,3,0.353
b'The Emperor Falls',b'John Wesley',0.560557984,0.452789477,0.377531645,b'',484.62322,4,0.283,-15.335,0,0.363,138.007,4,0.893
b'Twist and Shout',b'The Shangri-Las',0.640807102,0.418216518,0.443291312,b'',164.80608,10,0.254,-10.922,1,0.042,130.1,1,0
b'It Makes No Difference Now',b'Billie Jo Spears',0.523714637,0.384611084,0,b'',133.32853,4,0.384,-9.983,1,0.402,160.839,1,0
b'Laws Patrolling (Album Version)',"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",0.79360508,0.426317956,,b'',173.66159,7,0.299,-7.762,1,0.464,41.993,1,0
b'\xc2\xbfD\xc3\xb3nde va Chichi?',b'Sierra Maestra',0.501544777,0.392733676,,b'',313.12934,9,0.724,-9.512,1,0.364,189.646,3,0.674
"b'Barking Dogs (From ""Piouhgd"")'",b'Butthole Surfers',0.809323793,0.488019842,0.593943076,b'',450.84689,4,0.726,-9.063,0,0.367,130.586,4,0.42
b'OUTE ENA EFHARISTO',b'Despina Vandi',0.632559542,0.41168896,,b'',303.09832,8,0.532,-8.879,0,0.516,128.292,4,0.83
b'Midnight Swim',b'Javier Navarrete',0.597541218,0.382651971,0.394394856,b'',128.83546,3,0,-17.699,1,0.251,90.932,3,1
b'In A Subtle Way',b'Jacob Young',0.495445922,0.294861262,0,b'',456.30649,1,0.611,-19.478,1,0.546,89.667,4,0.747
b'Spin',"b""Scarlet's Remains""",0.527865076,0.393121934,0.450992312,b'',198.73914,7,0.673,-7.469,1,0.579,115.061,4,0.731
b'Burning In The Aftermath',b'The Suicide Machines',0.668674533,0.467538444,0.528782481,b'',95.68608,2,0.421,-2.022,1,0.589,115.887,4,0.744
b'Angie (1993 Digital Remaster)',b'The Rolling Stones',0.814829656,0.735765693,0.83449262,b'',271.49016,9,0.301,-10.358,0,0.392,139.333,1,0
b'Sabor Guajiro',b'Roberto Torres',0.482356043,0.350078579,0,b'',226.66404,0,0.863,-12.716,1,0.671,117.271,4,0.453
b'Human Cannonball',b'Loudon Wainwright III',0.661080168,0.442765842,0.510119314,b'',190.48444,3,0.544,-15.663,1,0.596,102.428,4,0.496
b'Glory Be',b'R.L. Burnside',0.701180874,0.466628889,0.482137585,b'',277.78567,2,0,-6.944,1,0,89.984,4,0
b'Crossfire',b'Stevie Ray Vaughan',0.73379894,0.544257506,,b'',248.78975,1,0.754,-7.805,1,0.597,116.721,4,0.522
"b""I Can't Be Satisfied""",b'John Hammond',0.590692918,0.452817838,,b'',195.3171,7,0.98,-10.7,1,0.753,123.142,4,0.678
b'Nashville Parthenon',b'Casiotone For The Painfully Alone',0.665322162,0.394217199,0.785892288,b'',175.72526,0,0.522,-10.93,1,0.474,141.919,4,0.445
b'Cocain Ducks',b'Ec8or',0.50407567,0.33457736,,b'',217.23383,10,0.005,-9.493,0,0.305,95.596,4,1
b'Human Being',b'The New York Dolls',0.717670525,0.479308459,0.561692411,b'',344.05832,11,0.425,-9.253,1,0.486,154.953,1,0
b'The More I See You',b'Eliane Elias',0.669726188,0.427914247,0.43483809,b'',251.42812,7,0.391,-12.009,1,0.319,86.091,5,0.551
b'Certain Things We Do',b'Lost Boyz',0.569741152,0.412240601,0.405115722,b'',269.7922,7,0.715,-11.043,1,0.614,90.218,4,1
b'Forming',b'The Germs',0.640048357,0.40439264,,b'',206.05342,11,0.641,-11.506,0,0.597,133.144,1,0
b'Mafu\xc3\xa1',b'Yamandu Costa',0.397772876,0.383475745,,b'',190.04036,2,0.105,-14.179,1,0.433,205.317,4,0
b'Driving Home For Christmas',b'Chris Rea',0.643182773,0.500691341,0.767727748,b'',241.162,9,0.222,-8.531,1,0.403,180.149,4,0
b'Spooks In Space',b'Perrey And Kingsley',0.411421048,0.338414818,0.43483809,b'',122.64444,0,0.61,-8.541,0,0.489,102.538,4,0.869
b'Tous Les Gar\xc3\xa7ons Et Les Filles',b'Eurythmics',0.75100762,0.523699078,0.38293509,b'',207.0722,0,0.442,-6.629,1,0.371,84.164,4,0.853
b'Too Much Saturn',b'Francis Dunnery',0.54858513,0.383524247,0.610474258,b'',300.79955,7,0.666,-13.33,1,0.658,124.175,4,0.698
b'Movement 4 [from Kiss] (Album Version)',b'John Cale',0.749317801,0.481655862,0.226555314,b'',228.46649,7,0.458,-12.412,1,0.602,137.004,1,0
b'Stream',b'Suzanne Ciani',0.631946666,0.380704536,0.415983118,b'',239.59465,7,0.527,-21.552,1,0.613,106.33,4,0.526
b'Make Me Over',b'Vickie Winans',0.653937821,0.396855869,,b'',228.93669,11,0.172,-8.686,0,0.369,107.961,4,1
b'Deform (live)',b'The Berzerker',0.668370612,0.45755391,0,b'',165.61587,1,0.108,-6.222,1,0.256,174.287,3,0.132
b'Wicker Chair',b'Kings Of Leon',0.845768866,0.788805935,0.685940227,b'',187.92444,0,0.612,-5.907,1,0.735,116.823,4,0.347
"b""An ti chans'""",b'Edith Lefel',0.407455644,0.30004649,0,b'',276.50567,0,0.29,-4.638,1,0.389,101.972,4,1
"b""I Will Love Again (JJ's Club Radio)""",b'Taras',0.460171324,0.189314878,,b'',200.25424,11,0.056,-5.884,0,0.283,127.97,4,0
b'Stickin In My Eye',b'NOFX',0.778816717,0.554291489,0.671236027,b'',144.50893,4,0.093,-7.787,0,0.423,152.622,4,0.358
b'Ota kiinni',b'Murskahumppa',0.435889847,0.26803784,,b'',285.17832,7,0.379,-8.488,1,0.401,110.787,3,1
b'Entre Can\xc3\xadbales',b'Soda Stereo',0.711165787,0.466826993,0.62616576,b'',246.69995,7,0.161,-9.603,1,0.205,112.903,4,1
b'Rosemary Recalls',b'Bruce Rowland',0.443162398,0.30045446,0,b'',84.03546,7,0.469,-26.266,1,0.591,115.642,4,0.44
b'Sudanese Dance',b'Xcultures',0.400433513,0.266275286,0.199238262,b'',273.52771,1,0.652,-6.305,1,0.694,125.013,4,1
b'Where The Thunder Roars (Tales Of Wonder Album Version)',b'White Heart',0.477364752,0.337507289,0.265861049,b'',298.84036,5,0.596,-9.998,1,0.567,113.277,4,0.872
b'Wanna Be A Player',b'Heavy D / McGruff',0.617870116,0.36366811,0.237733942,b'',161.38404,5,0.665,-9.161,0,0.606,96.979,4,0.895
b'Panama (Remastered Album Version)',b'Van Halen',0.744641246,0.579988982,0.82448213,b'',209.29261,8,0.455,-4.865,1,0.48,140.995,1,0.41
"b""Let's Get It Started""",b'Black Eyed Peas',0.845601887,1.005941966,0.624425493,b'',229.61587,11,0.205,-4.882,0,0.332,105.206,4,1
b'Metal',b'Nine Inch Nails',0.905776889,0.598458501,0.635536649,b'',426.89261,0,0.05,-12.951,0,0.395,63.017,4,0.378
b'She Fell Away (2009 Digital Remaster)',b'Nick Cave & The Bad Seeds',0.694021648,0.479407676,,b'',269.26975,9,0.052,-11.751,0,0.142,144.603,4,0
b'Next Time',b'Nadine Renee',0.408389022,0.139247394,0.198785349,b'',249.41669,2,0.883,-6.693,1,0.728,167.92,4,0.75
"b""It's My Party""",b'Lesley Gore',0.606925359,0.389100776,,b'',136.48934,9,0.386,-9.091,1,0.632,129.122,1,0
b'Complicate It',b'Smartbomb',0.562463784,0.322485106,0,b'',233.27302,0,0.53,-2.658,1,0.501,132.022,4,0.782
b'Monde De Fou',b'Suburbs',0.481004583,0.335651839,0.249065795,b'',187.24526,1,0.842,-4.42,1,0.721,183.92,1,0.063
b'Opus a Satana (Part 2)',b'Emperor',0.742963152,0.453391186,,b'',72.61995,9,0,-11.051,0,0,89.867,4,0.476
b'This Melody (Live)',b'Julien Clerc',0.58547954,0.364384924,,b'',272.63955,2,0.633,-9.97,1,0.605,119.896,5,0.921
"b""I'm Gone This Time""",b'Glen Campbell',0.67159627,0.481024239,,b'',142.75873,1,0.62,-11.335,0,0.814,137.29,4,0
b'You Feel Good All Over',b'T.G. Sheppard',0.449323615,0.343281882,0.382723281,b'',194.11546,5,1,-15.581,1,0.886,82.343,1,0.387
b'Indian Love Call',b'Slim Whitman',0.51644378,0.386669092,,b'',195.91791,3,0.883,-11.98,1,0.735,91.487,4,0
b'You Can Still Be Free',b'Savage Garden',0.728209707,0.538070295,,b'',118.33424,9,0,-11.215,0,0,84.69,5,0.678
b'I Never Came',b'Queens Of The Stone Age',0.798645179,0.552413346,0.725121284,b'',288.41751,2,0.08,-8.165,1,0.665,115.606,4,0
b'Dixie',b'Hank Penny & The Lincoln Penny Orchestra',0.445854631,0.347598889,,b'',123.21914,7,0.278,-12.69,0,0.482,126.523,1,0
b'Commercial Reign',b'Inspiral Carpets',0.605109702,0.398547535,0.665172241,b'',283.76771,2,0.823,-8.7,1,0.69,113.677,4,1
b'Hourglass',b'Borialis',0.454043995,0.421415103,0.554654767,b'',239.3073,2,0.569,-5.758,1,0.601,86.938,4,0.222
b'Wake',b'The Dirty Skirts',0.543516131,0.404182207,0.304169503,b'',206.75873,0,0.613,-4.907,1,0.656,141.936,4,0.634
b'Caricia Y Herida',b'Flor Silvestre',0.42054585,0.313569343,,b'',134.81751,11,0.847,-8.133,1,0.646,106.049,1,0
b'Le tortillard',b'B\xc3\xa9zu',0.373850623,0.148985481,,b'',285.64853,8,0.508,-9.093,1,0.343,126.88,4,0
b'WKYA (drop)',b'Redman',0.743129776,0.493566843,0.57010593,b'',124.18567,1,0.074,-10.296,0,0.492,85.008,5,1
b'Ter\xc3\xa4slintu',b'Solistiyhtye Suomi',0.13818761,0.31781096,,b'',134.08608,4,0.718,-12.839,0,0.674,133.699,1,0
"b""Now's The Time To Fall In Love""",b'Eddie Cantor',0.416141022,0.331090126,,b'',155.61098,11,0.599,-13.71,1,0.517,118.975,1,0.003
b'Grim Prospects (Gross Prospects - Bad Trip Remix)',b'Schizoid',0.495559652,0.349192218,,b'',275.40853,9,0.376,-2.119,1,0.334,102.408,4,0.395
b'Mangos',b'Kai Winding',0.430538907,0.316354001,0,b'',223.4771,0,0,-14.438,1,0.138,112.006,4,0.844
b'A Distant Voice',b'Sonny Simmons',0.428375417,0.317833879,0.270775999,b'',443.24526,1,0,-13.002,1,0.051,45.527,4,0
b'Openbare Weg',b'Mira',0.545110951,0.345751247,,b'',177.81506,4,0.695,-12.004,1,0.673,85.621,4,0.612
b'President Johnson',b'Citizen Kaned',0.483339422,0.277561738,,b'',385.33179,8,0.822,-8.37,0,0.503,108.061,4,1
b'Lead Me Lord',b'The Brooklyn Tabernacle Choir',0.559278494,0.432011947,0.405115722,b'',324.44036,7,0.558,-11.829,1,0.718,216.195,5,1
b'Spontanous Combustion',b'Ellen McIlwaine',0.438887475,0.325148571,0.242741879,b'',275.12118,7,0.699,-6.29,1,0.527,132.428,4,0.281
b'Choro',b'Vince Guaraldi / Bola Sete',0.57810363,0.414892612,0.386790177,b'',294.66077,5,0.238,-15.761,0,0.07,168.307,4,0
b'Ma Louise',b'Maurice Chevalier',0.502453177,0.391585329,,b'',193.20118,0,0.371,-27.433,1,0.484,140.956,7,0.866
b'I Want You (Forever)',b'Carl Cox Vs Yousef',0.541975108,0.384184258,0.511254835,b'',357.82485,1,0.485,-5.701,1,0.427,130.016,5,1
b'Hate',b'Organized Konfusion',0.683719468,0.412671631,0.460484845,b'',198.3473,11,0.306,-8.709,0,0.22,175.769,4,0.7
"b""I Can't Stop Loving You""",b'Martina McBride',0.614870934,0.628246419,0.488289876,b'',261.95546,7,0.96,-13.627,1,0.634,100.194,3,1
b'Thank You Lord',b'Horace Andy',0.626436382,0.374271174,,b'',176.27383,2,0.171,-11.479,1,0.239,151.911,4,0.231
b'How Can You Call That Beautiful (Stewkey Vocal)',b'Nazz',0.494681417,0.384146444,,b'',220.89098,9,0.606,-6.302,1,0.475,119.691,4,0.491
"b""Cheatin' In The Next Room""",b'Tyrone Davis',0.543866302,0.393215104,,b'',235.91138,10,0.46,-10.466,1,0.379,161.976,4,0.696
b'Candy Man',b'Hot Tuna',0.567278871,0.405178359,,b'',239.59465,0,0.601,-9.275,1,0.563,172.398,1,0
b'I See The Boys Of Summer',b'Richard Burton',0.432386477,0.28404741,0,b'',171.49342,2,0.45,-37.398,1,0.685,109.823,3,0.659
b'Three Is a Crowd',b'Rory Block',0.513829587,0.343185045,0,b'',266.05669,1,0.936,-13.836,1,0.763,90.101,1,0
b'On Bended Knee',b'Boyz II Men',0.790922848,0.601184942,0.345802234,b'',329.27302,8,0.497,-7.103,1,0.491,116.473,4,1
b'My Four Reasons',b'Howard Armstrong',0.45466819,0,0.333554807,b'',198.922,9,0,-13.495,0,0.094,126.821,4,0
b'Little Girl (LP Version)',b'Donny Hathaway',0.657406765,0.422472423,0.617365618,b'',283.21914,2,0.499,-15.144,1,0.652,111.191,3,0.851
b'Eternamente Amame',b'Miguel Gallardo',0.45871209,0.335101425,,b'',238.68036,5,0.458,-12.991,1,0.542,125.508,4,0.462
b'Niev nietch nievitch',b'Les Ogres De Barback',0.652367864,0.437964733,0.394394856,b'',254.06649,4,0.446,-6.01,0,0.383,137.888,1,0
b'Come Over',b'DJ X-Change featuring DJ Joey A',0.342440144,0.281284216,,b'',184.31955,6,0,-5.58,0,0,150.012,4,0
b'Blue Taxi',b'Morel',0.49825931,0.33406579,,b'',311.40526,10,0.685,-4.313,1,0.611,108.367,4,0.36
b'I Want Love (Tween You & Me) (Album Version)',b'Tony Joe White',0.624723768,0.403509673,0.374796837,b'',162.53342,2,0.243,-17.285,1,0.297,173.482,4,0.804
b'White Feather',b'Wolfmother',0.79225559,0.566971566,,b'',212.37506,4,0.372,-5.931,0,0.207,110.745,4,1
b'Christlike Roche',b'The Roches',0.573605491,0.372251208,0.265861049,b'',338.33751,2,0.626,-14.248,0,0.575,130.027,4,0.509
b'You Rascal You',b'Bob Margolin',0.555985053,0.326848818,0.233796474,b'',126.51057,11,0.228,-12.651,1,0.374,110.168,4,0.92
b'Sympathy',b'Thomas Battenstein',0.42562724,0,,b'',205.58322,9,0.825,-16.056,0,0.836,97.976,3,1
b'They Say (Album)',b'Jupiter Rising',0.662649695,0.363177861,0.215080319,b'',193.4624,0,0.373,-5.913,0,0.548,119.979,4,1
"b""Simon's Folly""",b'Dharma Bums',0.491921881,0.345809443,,b'',127.4771,6,0.81,-5.541,1,0.864,156.968,1,0
b'Crawl Before You Ball (Album Version)',b'Saafir',0.594779904,0.318902078,,b'',234.762,5,0.172,-6.019,1,0.026,188.886,4,1
b'Medicate Myself',b'The Verve Pipe',0.70334944,0.498395338,0.466304831,b'',292.8322,9,0.295,-4.953,1,0.196,133.306,4,0.338
b'Biding Her Time',b'Bob Neuwirth',0.434272037,0.301502462,0.480610618,b'',241.10975,4,0.965,-18.114,1,0.744,152.267,3,1
b'More And More  (LP Version)',b'Marvin Sapp',0.733714696,0.459665457,0.26568338,b'',270.68036,1,0.33,-11.061,1,0.526,166.275,4,0.845
b'Cowboy Ways',b'James Hunter',0.625443262,0.431526919,,b'',188.73424,2,0.862,-7.04,1,1,114.971,4,0
b'Brasas Vivas',b'Nelson Ned',0.498663649,0.32188269,,b'',211.80036,9,0.519,-15.358,0,0.525,144.651,4,0.142
b'Kolomeyke',b'Mish Mash',0.505644262,0.351210537,,b'',254.32771,2,0.64,-11.213,1,0.692,152.005,1,0.605
b'In This Life',b'Cama',0.406187449,0.273453727,,b'',210.36363,1,0.645,-5.904,0,0.683,155.074,1,0
"b""Groovin' In The Midnight""",b'Maxi Priest',0.661001337,0.446890727,0.345802234,b'',301.81832,10,0.683,-8.095,0,0.549,61.971,1,0.397
b'Waiting',b'Porcupine Tree',0.830252262,0.507965802,0.82517354,b'',416.80934,6,0.644,-7.982,0,0.607,124.04,5,0.82
"b""A'chek Ouyounik (2009 Digital Remaster)""",b'Ragheb Alama',0.554226467,0.424931835,0,b'',413.36118,7,0.056,-8.804,0,0.306,191.196,4,0
b'Hell',b'Foo Fighters',0.839275393,0.550762085,,b'',117.002,7,0.458,-5.699,1,0.44,152.127,4,0.651
"b""Hips Don't Lie (featuring Wyclef Jean)""",b'Shakira Featuring Wyclef Jean',0.833178561,0.682263177,0.73738531,b'',217.36444,10,0.805,-5.152,0,0.688,100.023,4,0.937
b'Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa)',b'The Avengers',0.574973901,0.42251494,,b'',122.72281,10,0,-9.965,1,0.149,192.688,4,0.671
b'I Got Over It (Album Version)',b'Robben Ford',0.604820432,0.383877494,0.47212112,b'',203.98975,11,0.236,-11.976,0,0.384,154.322,4,0
b'One Less Bell To Answer',b'Brazilian Tropical Orchestra',0.378013152,0.339408486,0,b'',192.44363,5,0.084,-10.229,1,0.405,236.006,4,0.761
b'Festa',b'Gil Semedo',0.441593442,0.382869956,0.392008771,b'',285.36118,11,0.321,-6.284,1,0.421,150.666,5,1
b'Te Hacen Falta Vitaminas',b'Soda Stereo',0.711165787,0.466826993,,b'',225.12281,11,0,-3.818,0,0.036,175.421,1,0
b'Sense And Trick',b'Xmilk',0.4621406,0.32138373,,b'',123.66322,9,0.138,-4.633,0,0.452,104.153,4,0.072
b'Fire (Oscar G Space Vocal Mix)',b'Dolce; Oscar G.',0.471577282,0.3370893,,b'',525.16526,11,0.386,-5.602,0,0.417,127.278,4,0.22
b'Hanging On (Medium Key Performance Track Without Background Vocals)',b'Britt Nicole',0.669500125,0.544446277,0.236420182,b'',204.06812,6,0.606,-5.157,1,0.514,160.165,4,1
